cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_449801-450312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_450401-450912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_451001-451512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_451601-452112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_452201-452712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_452801-453312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_453401-453912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_454001-454512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_454601-455112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_455201-455712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_455801-456312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_456401-456912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_457001-457512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_457601-458112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_458201-458712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_458801-459312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_459401-459912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_460001-460012.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_432401-432912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_433001-433512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_433601-434112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_434201-434712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_434801-435312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_435401-435912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_436001-436512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_436601-437112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_437201-437712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_437801-438312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_438401-438912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_439001-439512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_439601-440112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_440201-440712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_440801-441312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_441401-441912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_442001-442512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_442601-443112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_443201-443712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_443801-444312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_444401-444912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_445001-445512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_445601-446112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_446201-446712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_446801-447312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_447401-447912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_448001-448512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_448601-449112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_449201-449712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_449801-450312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20130417,pr,_CMCC-CESM_piControl_r1i1p1_450401-450912.nc
